Former,Current,Type
Atriplex argentea subsp. expansa,Atriplex argentea var. expansa
Atriplex argentea var. mohavensis,Atriplex argentea var. expansa
Atriplex californica,Extriplex californica
Atriplex coronata var. verna,Atriplex coronata var. coronata
Atriplex expansa,Atriplex argentea var. expansa
Atriplex flagellaris,Atriplex semibaccata
Atriplex hastata subsp. patula,Atriplex patula
Atriplex hastata var. patula,Atriplex patula
Atriplex joaquinana,Extriplex joaquinana
Atriplex parishii var. depressa,Atriplex depressa
Atriplex parishii var. minuscula,Atriplex minuscula
Atriplex patula subsp. spicata,Extriplex joaquinana
Atriplex patula var. subspicata,Atriplex dioica
Atriplex spicata var. lagunita,Extriplex joaquinana
Atriplex subspicata,Atriplex dioica
Atriplex triangularis,Atriplex prostrata
Atriplex trinervata,Atriplex argentea var. expansa
Atriplex verna,Atriplex coronata var. coronata
Baccharis douglasii,Baccharis glutinosa
Baccharis pilularis var. consanguinea,Baccharis pilularis subsp. consanguinea
Baccharis sarothroides var. pluricephala,Lepidospartum squamatum
Balsamorhiza macrolepis var. macrolepis,Balsamorhiza macrolepis
Barbarea orthoceras var. dolichocarpa,Barbarea orthoceras
Berberis aquifolium,Berberis aquifolium var. aquifolium,INAT
Berberis californica,Berberis aquifolium var. dictyota
Berberis dictyota,Berberis aquifolium var. dictyota,INAT
Berberis piperiana,Berberis aquifolium var. aquifolium
Blepharizonia plumosa subsp. plumosa,Blepharizonia plumosa
Blepharizonia plumosa subsp. viscida,Blepharizonia laxa
Blitum californicum,Chenopodium californicum,INAT
Blitum nuttallianum,Monolepis nuttalliana,INAT
Bloomeria maritima var. serotina,Muilla maritima
Bloomeria maritima,Muilla maritima
Boisduvalia cleistogama,Epilobium cleistogamum
Boisduvalia densiflora var. pallescens,Epilobium densiflorum
Boisduvalia densiflora var. salicina,Epilobium densiflorum
Boisduvalia densiflora,Epilobium densiflorum
Boisduvalia glabella var. campestris,Epilobium campestre
Boisduvalia glabella,Epilobium campestre
Boisduvalia stricta,Epilobium torreyi
Boisduvalia torreyi,Epilobium torreyi
Boschniakia strobilacea,Kopsiopsis strobilacea
Brassica campestris,Brassica rapa
Brassica geniculata,Hirschfeldia incana
Brassica kaber,Sinapis arvensis
Brickellia californica var. tenera,Brickellia californica
Brickellia tenera,Brickellia californica
Brickellia wrightii var. tenera,Brickellia californica
Brodiaea candida,Triteleia laxa
Brodiaea congesta,Dichelostemma congestum
Brodiaea coronaria var. macropoda,Brodiaea terrestris subsp. terrestris
Brodiaea coronaria var. mundula,Brodiaea elegans subsp. elegans
Brodiaea dissimulata,Triteleia hyacinthina
Brodiaea elegans var. mundula,Brodiaea elegans subsp. elegans
Brodiaea grandiflora var. brachypoda,Dichelostemma multiflorum
Brodiaea grandiflora var. macropoda,Brodiaea terrestris subsp. terrestris
Brodiaea hyacinthina var. lactea,Triteleia hyacinthina
Brodiaea hyacinthina var. lilacina,Triteleia hyacinthina
Brodiaea hyacinthina,Triteleia hyacinthina
Brodiaea lactea var. lilacina,Triteleia hyacinthina
Brodiaea lactea,Triteleia hyacinthina
Brodiaea laxa var. candida,Triteleia laxa
Brodiaea laxa var. tracyi,Triteleia laxa
Brodiaea laxa,Triteleia laxa
Brodiaea multiflora,Dichelostemma multiflorum
Brodiaea parviflora,Dichelostemma multiflorum
Brodiaea peduncularis,Triteleia peduncularis
Brodiaea pulchella,Dipterostemon capitatus
Brodiaea torreyi,Brodiaea terrestris subsp. terrestris
Brodiaea volubilis,Dichelostemma volubile
Bromus breviaristatus,Bromus sitchensis var. marginatus
Bromus carinatus var. marginatus,Bromus sitchensis var. marginatus
Bromus carinatus var. maritimus,Bromus sitchensis var. maritimus
Bromus carinatus,Bromus sitchensis var. carinatus,INAT
Bromus cebadilla,Bromus catharticus var. elatus
Bromus diandrus var. rigidus,Bromus diandrus
Bromus hordeaceus subsp. divaricatus,Bromus hordeaceus
Bromus hordeaceus subsp. molliformis,Bromus hordeaceus
Bromus hordeaceus subsp. thominei,Bromus hordeaceus
Bromus luzonensis,Bromus sitchensis var. marginatus
Bromus madritensis subsp. rubens,Bromus rubens
Bromus marginatus subsp. maritimus,Bromus sitchensis var. maritimus
Bromus marginatus,Bromus sitchensis var. marginatus,INAT
