taxon,common name,status,jepson id,calrecnum,inat id,RPI ID,CRPR,CESA
Carex barbarae,,N,17289,1520,59045
Carex brevicaulis,,N,17307,1523,494319
Carex comosa,bristly sedge,N,17339,1530,76025,1606,2B.1
Carex densa,,N,17373,1535,61177
Carex globosa,,N,17450,1554,61176
Carex gracilior,,N,17453,1555,76042
Carex harfordii,Harford's sedge,N,17474,1558,61001
Carex heteroneura,,N,17487,1563,76049
Carex laeviculmis,smooth stem sedge,N,17535,1575,76062
Carex leporina,,N,17557,11472,76067
Carex leptopoda,,N,17564,11473,76070
Carex multicostata,,N,17642,1599,69929
Carex nebrascensis,,N,17650,1600,76081
Carex nudata,,N,17676,1605,76085
Carex obnupta,,N,17680,1607,61000
Carex pachystachya,,N,17697,1610,76089
Carex pellita,woolly sedge,N,74511,9052,76091
Carex pendula,,X,80276,10523,49365
Carex praegracilis,deer-bed sedge,N,17745,1616,60255
Carex senta,,N,17827,1629,76106
Carex serratodens,,N,17829,1630,59050
Carex subbracteata,,N,17866,1638,64315
Carex tumulicola,,N,17908,1645,64183
Carex unilateralis,lateral sedge,N,17915,1646,76123
Carpobrotus chilensis,sea fig,X,77164,1659,56026
Carpobrotus edulis,freeway iceplant,X,17975,1660,49322
Castilleja affinis subsp. affinis,Indian paintbrush,N,70068,1669,50043
Castilleja ambigua subsp. ambigua,johnny-nip,N,49732,1673,61110,3361,4.2
Castilleja applegatei subsp. martinii,,N,76733,1679,1041230
Castilleja attenuata,valley tassels,N,18175,1683,49341
Castilleja densiflora subsp. densiflora,owl's-clover,N,49740,1691,61233
Castilleja exserta subsp. exserta,purple owl's-clover,N,49744,1695,59012
Castilleja exserta subsp. latifolia,,N,49745,1696,61109
Castilleja foliolosa,woolly paintbrush,N,18205,1698,56760
Castilleja rubicundula subsp. lithospermoides,cream sacs,N,49761,1729,57269
Castilleja subinclusa subsp. franciscana,,N,76740,1733,53916
Castilleja subinclusa subsp. subinclusa,,N,74693,1734,53917
Castilleja wightii,Wight's paintbrush,N,18332,1738,67809
Caulanthus flavescens,,N,18399,11482,76161
Caulanthus lasiophyllus,California mustard,N,18404,11483,76165
Caulanthus lemmonii,,N,18406,9777,71133,1864,1B.2
Ceanothus cuneatus var. cuneatus,buck brush,N,75440,1771,49672
Ceanothus foliosus,wavy leaved ceanothus,N,18446,1779,64077
Ceanothus leucodermis,chaparral whitethorn,N,18466,1803,76182
Ceanothus oliganthus var. sorediatus,jim brush,N,56109,1813,53361
Ceanothus thyrsiflorus,blue blossom,N,18501,1830,56617
Centaurea calcitrapa,purple star-thistle,X,1922,1845,56865
Centaurea cyanus,"bachelor's button,cornflower",X,1925,1846,933404
Centaurea iberica,Iberian starthistle,X,1931,1849,76212
Centaurea melitensis,tocalote,X,1934,1851,57922
Centaurea solstitialis,yellow star-thistle,X,1946,1853,52588
Centranthus ruber,red valerian,X,18595,1864,57283
Centromadia fitchii,Fitch's spikeweed,N,77593,10809,58804
Centromadia parryi subsp. congdonii,Congdon's tarplant,N,77575,8896,58808,1689,1B.1
Centromadia pungens subsp. pungens,common spikeweed,N,80173,9544,64196
Cephalanthus occidentalis,button bush,N,18612,9794,52763
Cerastium fontanum subsp. vulgare,,X,49818,1872,1005385
Cerastium glomeratum,mouse-ear chickweed,X,18675,1873,52973
Ceratophyllum demersum,hornwort,N,18711,1874,60997
Cercocarpus betuloides var. betuloides,mountain-mahogany,N,71734,1879,59001
